image,tot_root_length,width,depth,direction,n_primary,tot_prim_length,mean_prim_length,mean_prim_diameter,mean_lat_density,n_laterals, tot_lat_length,mean_lat_length,mean_lat_diameter,mean_lat_angle,tree_size,tree_magnitude,tree_altitude,tree_index
RSDH08-2-N+-119-452.rsml,48.938087,12.263681,18.38773,3.6643958,3,45.0,15.459327,0.031165645,2.5765548,10,2.5601192,0.25601193,0.031165645,87.64361,23,13.0,9.0,0.6923077
RSDH08-2-N+-140-15.rsml,30.610538,7.027853,5.8591413,4.144318,5,29.0,6.122108,0.031165645,0.0,0,0.0,0.0,0.0,0.0,5,5.0,5.0,1.0
RSDH08-2-N+-18-330.rsml,52.10554,10.954724,16.439877,4.0100164,4,47.0,12.452737,0.031165645,2.6932557,15,2.294601,0.15297341,0.031165645,90.48669,34,19.0,15.0,0.7894737
RSDH08-2-N+-260-469.rsml,46.31025,8.4614725,9.069202,3.8925948,6,43.0,7.6584663,0.031165645,0.0,1,0.35945457,0.35945457,0.031165645,91.90573,8,7.0,6.0,0.85714287
RSDH08-2-N+-265-371.rsml,36.225628,5.251411,9.583436,4.4457636,4,32.0,8.66911,0.031165645,5.295122,5,1.5491912,0.30983827,0.031165645,91.83119,14,9.0,8.0,0.8888889
RSDH08-2-N+-301-316.rsml,51.978863,11.749448,12.746749,3.4354153,6,46.0,8.193827,0.031165645,4.0667005,8,2.8159041,0.351988,0.031165645,94.01853,22,14.0,6.0,0.42857143
RSDH08-2-N+-310-298.rsml,69.35148,9.287362,16.829449,4.271006,5,67.0,13.611316,0.031165645,4.2299714,6,1.2949075,0.2158179,0.031165645,83.370964,17,11.0,8.0,0.72727275
RSDH08-2-N+-356-415.rsml,45.786434,11.391043,15.395828,3.929896,4,43.0,11.265253,0.031165645,4.9733725,5,0.725416,0.1450832,0.031165645,83.58052,14,9.0,7.0,0.7777778
RSDH08-2-N+-386-447.rsml,42.43432,8.539387,11.718283,4.0537977,4,40.0,10.60858,0.031165645,0.0,0,0.0,0.0,0.0,0.0,4,4.0,4.0,1.0
RSDH08-2-N+-389-94.rsml,72.79533,14.149202,21.410797,3.5197172,5,66.0,13.8351965,0.031165645,3.2811308,12,3.6193402,0.3016117,0.031165645,82.72758,29,17.0,13.0,0.7647059
RSDH08-2-N+-450-345.rsml,55.908432,7.2304296,15.271166,3.9460135,5,52.0,10.970064,0.031165645,8.643303,5,1.0581114,0.21162227,0.031165645,74.312614,15,10.0,5.0,0.5
RSDH08-2-N+-479-36.rsml,45.621063,9.94184,9.458773,4.25068,5,44.0,9.124212,0.031165645,0.0,0,0.0,0.0,0.0,0.0,5,5.0,5.0,1.0
RSDH08-2-N+-505-400.rsml,43.19222,10.861227,11.500123,3.7201462,6,39.0,7.147904,0.031165645,0.0,2,0.30479875,0.15239938,0.031165645,89.91158,10,8.0,6.0,0.75
RSDH08-2-N+-52-414.rsml,60.55961,15.73865,17.515093,3.5611236,5,54.0,11.447803,0.031165645,6.230642,10,3.320601,0.3320601,0.031165645,87.70383,25,15.0,8.0,0.53333336
RSDH08-2-N+-54-418.rsml,57.733253,11.141718,18.153988,3.844928,5,55.0,11.522309,0.031165645,0.0,1,0.12170573,0.12170573,0.031165645,75.95924,7,6.0,5.0,0.8333333
RSDH08-2-N+-631-86.rsml,48.762577,9.599018,13.120736,4.1551213,6,45.0,8.127096,0.031165645,0.0,0,0.0,0.0,0.0,0.0,6,6.0,6.0,1.0
RSDH08-2-N+-632-368.rsml,27.568699,4.8618407,11.749448,3.8045673,3,25.0,8.853359,0.031165645,1.1061645,6,1.0086223,0.16810371,0.031165645,79.16865,15,9.0,8.0,0.8888889
RSDH08-2-N+-650-290.rsml,37.968662,7.2148466,9.1627,3.6974378,6,35.0,6.2386317,0.031165645,1.4727646,4,0.53687286,0.13421822,0.031165645,68.969986,14,10.0,6.0,0.6
