image,tot_root_length,width,depth,direction,n_primary,tot_prim_length,mean_prim_length,mean_lat_density,n_laterals,tot_lat_length,mean_lat_length,mean_lat_angle
1,38.583607,8.076138,7.4669123,3.0682888,5,35.0,7.447288,4.942918,6,1.3471603,0.22452675,77.49344
2,42.978317,8.060516,6.7014756,3.9488182,6,40.0,6.8875895,6.963956,5,1.6527815,0.3305563,91.71337
3,43.03298,7.873062,9.544526,4.0632687,5,40.0,8.4029665,6.0852947,3,1.0181525,0.33938414,87.89865
4,41.79038,7.6856084,6.21722,3.9170277,5,37.0,8.023186,4.570388,9,1.6744535,0.18605039,81.38433
5,28.114977,4.8894215,6.2640834,3.7822084,5,24.0,5.421063,14.823811,4,1.0096614,0.25241536,80.862114
6,37.500076,9.8257065,5.8891754,4.205356,5,35.0,7.500015,0.0,0,0.0,0.0,0.0
7,60.46972,11.590898,21.90086,3.8381605,6,55.0,9.674395,2.8246753,5,2.4233484,0.48466972,62.80532
8,27.160192,3.7022138,6.2953258,4.5146055,5,24.0,5.1575947,2.9107523,6,1.37222,0.22870335,84.34955
9,34.958717,4.920664,11.309716,4.0448666,5,32.0,6.751261,7.039004,4,1.2024136,0.30060342,68.49718
10,33.16116,7.310701,7.8418202,4.3892765,6,30.0,5.5058694,0.0,1,0.12594178,0.12594178,90.26822
11,30.117786,6.107872,6.7952027,4.1021466,5,27.0,5.9392567,0.0,1,0.421505,0.421505,177.61858
12,46.442356,10.841082,9.497663,3.9948652,5,41.0,8.714654,9.451485,9,2.8690865,0.31878737,76.596245
13,44.08003,8.076138,12.84059,4.3668895,5,40.0,8.505668,4.769808,5,1.5516927,0.31033856,84.59679
14,26.354769,3.5616236,5.8579335,4.3075314,5,24.0,5.270954,0.0,0,0.0,0.0,0.0
15,31.278337,5.0456333,7.607503,4.0998845,5,29.0,6.255667,0.0,0,0.0,0.0,0.0
16,24.431658,7.4669123,6.2953258,4.3200316,5,21.0,4.809486,0.0,2,0.3842296,0.19211482,65.762794
17,40.040695,7.248216,7.9824104,3.7834752,5,36.0,7.561881,3.7052267,7,2.2312891,0.31875563,75.76526
18,33.150265,8.247971,6.6858544,3.4340024,5,28.0,6.0449343,4.6459417,10,2.9255943,0.29255944,71.76393
19,30.319794,5.217466,6.873308,4.0365877,5,28.0,6.0219264,0.0,1,0.21016115,0.21016115,61.377815
20,31.854443,5.9985237,5.5611315,3.8016386,6,28.0,5.20371,10.542462,3,0.6321757,0.21072525,78.58865
21,29.076357,6.732718,6.029766,4.259632,5,26.0,5.742063,0.0,2,0.36603826,0.18301913,77.732956
22,40.72515,7.545018,6.9826565,2.7464275,6,36.0,6.5084352,4.970911,8,1.674536,0.20931701,79.23647
23,28.981876,4.7800736,6.810824,4.0640926,5,25.0,5.6144986,0.0,2,0.9093852,0.45469257,71.51187
24,27.841194,6.123493,5.2643294,4.27736,5,25.0,5.5682387,0.0,0,0.0,0.0,0.0
25,43.923172,6.810824,9.607011,3.6394792,5,37.0,7.963156,3.5212579,11,4.107391,0.37339917,60.238686
26,39.67029,7.623124,8.076138,3.9998095,5,36.0,7.608235,6.129533,6,1.6291178,0.27151963,82.96883
27,27.835583,4.9675274,5.1706023,4.229199,5,24.0,5.3872533,7.998239,3,0.8993132,0.29977104,72.8236
28,66.75248,11.575276,14.74637,3.5554788,5,56.0,11.527469,3.6995134,18,9.115129,0.5063961,70.68371
29,27.701576,2.796187,6.9201717,4.3779945,5,25.0,5.5403147,0.0,0,0.0,0.0,0.0
30,30.479548,8.154243,5.326814,4.1750503,5,28.0,6.0959096,0.0,0,0.0,0.0,0.0
31,19.455498,5.5455103,4.436408,4.481329,5,17.0,3.8601713,0.0,1,0.15464155,0.15464155,91.94858
32,33.37972,5.5455103,8.669742,4.1531377,5,31.0,6.675944,0.0,0,0.0,0.0,0.0
33,38.62626,8.982164,8.700984,4.095104,5,35.0,7.285863,5.6754646,5,2.1969478,0.4393896,73.644226
34,35.9389,10.028782,8.310454,4.0264587,5,31.0,6.544472,4.5426726,9,3.2165427,0.35739365,96.08543
35,40.85859,5.8891754,8.716605,3.6336527,5,34.0,7.370044,3.9728808,13,4.008365,0.30833578,80.242676
36,29.106657,5.4049196,3.7646985,4.1501083,5,26.0,5.8213315,0.0,0,0.0,0.0,0.0
37,39.102825,9.310208,7.2794585,4.1992927,5,34.0,7.1714864,5.786236,8,3.2453961,0.40567446,82.088646
38,26.758577,6.5452642,4.4832716,3.354992,6,23.0,4.148804,8.50098,7,1.8657547,0.26653638,71.75339
39,39.86638,10.450553,6.248462,3.6103618,6,34.0,6.252833,6.9049153,9,2.3493803,0.26104224,79.60197
40,35.308117,6.9201717,5.451783,3.8755476,5,31.0,6.724275,3.381542,5,1.6867455,0.3373491,78.327705
41,38.84652,7.0763836,7.138868,3.7456925,5,33.0,7.3114414,8.456603,11,2.2893143,0.20811945,75.21627
42,62.639465,13.324845,16.823984,3.9130507,5,52.0,10.845238,3.005883,17,8.413268,0.49489817,61.370068
43,86.22287,17.526936,25.806149,3.8742528,4,70.0,18.118294,5.0919740000000004,33,13.749685,0.41665715,74.634384
44,69.193596,16.933332,19.713898,4.073671,5,55.0,11.465243,3.227864,26,11.86738,0.4564378,68.87112
45,71.87811,9.169619,16.948954,3.9221215,4,54.0,13.994328,3.2463036,34,15.900805,0.46767065,75.86028
46,58.898094,10.856703,18.620417,4.791499,4,49.0,12.580177,3.1951804,20,8.577392,0.4288696,72.06569
47,76.58331,18.073677,20.213776,3.5676553,5,58.0,12.198501,3.6121905,47,15.590807999999999,0.3317193,72.21233
48,75.82872,17.386347,23.009962,3.7767687,6,63.0,11.128625,6.6801376,22,9.056971,0.41168046,79.762665
49,35.762554,8.357318,8.013653,4.1956787,5,34.0,7.1281085,0.0,1,0.12200513,0.12200513,70.912796
50,43.052475,14.7619915,12.793726,3.9088192,4,36.0,9.57723,4.0245247,8,4.7435575,0.59294474,76.978
51,61.71376,16.402214,16.027306,3.8395956,4,55.0,14.096319,4.147383,19,5.3284864,0.28044665,81.19361
52,73.50861,14.777613,16.683393,4.137766,5,57.0,12.0328455,6.337072,24,13.344396,0.5560164,70.47793
53,59.12285,12.43444,15.058794,3.252846,5,52.0,10.751796,3.6523235,19,5.3638654,0.2823087,75.57585
54,46.45334,8.372939,12.215744,3.4255807,5,39.0,8.479548,3.4339836,10,4.0555925,0.40555924,76.69517
55,44.852684000000004,14.090282,10.919188,4.0388193,5,40.0,8.496541,3.2448442,7,2.3699765,0.33856806,75.88857
56,63.367252,10.575522,22.135178,4.321725,4,51.0,13.240393,5.700853,29,10.405684,0.3588167,68.4694
57,76.094246,18.432964,23.134932,4.2345552,6,68.0,11.741775,1.7092618,13,5.643605,0.4341235,78.294
58,62.14766,13.231119,20.385609,4.219778,4,50.0,12.920958,4.5097113,24,10.463833,0.4359931,76.140465
59,98.32672,18.761007,23.712914,3.9170918,5,64.0,13.276408,4.2085056,56,31.944685,0.5704409,70.131546
60,59.022522,15.152521,12.325091,3.8841891,5,48.0,9.910959,4.3974037,24,9.467728,0.39448872,67.82969
61,44.236584,9.232103,12.871832,4.09816,5,41.0,8.66739,11.668565,3,0.89963585,0.29987863,77.30834
62,64.27638,15.589913,22.463223,4.262948,4,51.0,13.099404,3.7120671,24,11.878765,0.49494863,71.12318
63,63.34442,12.512546,20.026321,4.3045673,5,57.0,12.035548,6.139326,5,3.166685,0.63333696,71.90405
64,62.838966,7.7012296,14.840097,4.4676194,7,56.0,8.4672165,3.0377011,12,3.5684628,0.2973719,74.93868
65,75.356316,11.059778,24.978228,3.6861951,5,65.0,13.4627495,53.478703,25,8.042584,0.32170337,74.54586
66,63.150677,22.931856,15.199385,3.671469,4,57.0,14.667933,2.03188,14,4.478946,0.31992474,63.403835
67,55.45821,15.964821,16.980196,4.267352,4,47.0,12.101487,3.3103144,16,7.0522585,0.4407661,72.9045
68,80.33175,12.949938,23.24428,3.7711186,4,62.0,15.810425,3.700269,38,17.090034,0.44973773,70.65511
69,87.47537,16.933332,26.181057,3.8304994,5,61.0,12.884381,2.654019,36,23.053461,0.6403739,79.25495
70,73.88705,12.012669,23.509838,3.962785,4,64.0,16.28559,3.2588205,22,8.744682,0.39748555,69.448906
71,52.24514,8.279212,8.482287,4.190014,5,50.0,10.449028,0.0,0,0.0,0.0,0.0
72,71.37649,13.715375,17.745632,4.127973,5,63.0,12.948791,5.596904,21,6.6325336,0.31583494,72.62813
73,78.318184,18.636038,27.118326,3.8707583,5,61.0,12.911083,4.684601,25,13.762769,0.5505107,76.46553
74,95.1662,18.979704,24.353382,3.8233972,5,72.0,15.1636095,3.329938,30,19.348127,0.64493775,73.99466
75,77.88748,10.887945,13.980934,3.7461104,5,54.0,11.273565,3.73371,43,21.51964,0.50045675,69.52228
76,53.034348,13.887207,10.27872,4.492431,4,47.0,12.297537,3.9368086,11,3.8441956,0.3494723,76.07617
77,52.235035,9.341451,13.24674,3.9865446,5,49.0,10.311848,0.0,2,0.675797,0.3378985,72.42582
78,75.63544,9.778843,17.792496,4.1391025,5,66.0,13.65916,3.159177,16,7.3396454,0.45872784,72.11389
79,67.98724,13.309224,15.324353,3.9700222,6,61.0,10.690812,3.2303987,9,3.842379,0.426931,65.422035
80,37.58315,10.216236,10.169373,4.271865,5,36.0,7.5166297,0.0,0,0.0,0.0,0.0
81,45.15807,11.465928,14.480811,3.907557,4,42.0,10.820692,3.2141173,7,1.8753047,0.26790065,75.49517
82,41.408257,10.169373,14.621402,4.1118507,4,38.0,10.017156,3.3235536,5,1.3396342,0.26792684,73.23935
83,25.41943,6.951414,8.700984,4.19384,3,23.0,8.473143,0.0,0,0.0,0.0,0.0
84,41.73628,6.107872,10.731734,3.905211,4,39.0,10.313472,0.0,2,0.48239154,0.24119577,48.400024
85,39.816067,4.217712,10.153751,4.129946,5,36.0,7.825436,2.2061498,2,0.68888736,0.34444368,52.339928
86,43.21573,9.263345,12.496924,3.707622,3,40.0,13.937799,1.2214189,4,1.4023335,0.35058337,77.34085
87,39.061382,7.951168,14.840097,3.5709543,4,36.0,9.460713,7.4805245,4,1.2185287,0.30463216,67.85239
88,41.323784,10.872324,15.480565,3.9828808,3,39.0,13.420336,1.249758,3,1.0627787,0.35425958,83.62191
89,30.543573,5.217466,8.997786,4.344931,3,29.0,10.181191,0.0,0,0.0,0.0,0.0
90,27.489866,3.5928657,11.653382,4.214717,4,26.0,6.716682,0.0,2,0.623138,0.311569,84.0112
91,30.17223,0.93726933,8.029274,4.273334,3,28.0,10.05741,0.0,0,0.0,0.0,0.0
